Time,Degree,Velocity
4311.80,-38.40,144.00
4316.92,-37.68,144.00
4322.04,-36.96,144.00
4327.16,-36.24,144.00
4332.30,-35.52,144.00
4337.42,-34.56,192.00
4342.54,-33.84,144.00
4347.66,-33.12,144.00
4352.78,-32.16,192.00
4357.90,-31.44,144.00
4363.02,-30.72,144.00
4368.15,-29.76,192.00
4373.37,-29.04,144.00
4378.49,-28.32,144.00
4383.61,-27.36,192.00
4388.73,-26.64,144.00
4393.85,-25.92,144.00
4398.97,-24.96,192.00
4404.09,-24.24,144.00
4409.21,-23.28,192.00
4414.34,-22.56,144.00
4419.46,-21.60,192.00
4424.58,-20.88,144.00
4429.70,-19.92,192.00
4434.82,-19.20,144.00
4439.94,-18.24,192.00
4445.06,-17.28,192.00
4450.18,-16.56,144.00
4455.30,-15.60,192.00
4460.42,-14.64,192.00
4465.55,-13.68,192.00
4470.67,-12.96,144.00
4475.79,-12.00,192.00
4480.91,-11.04,192.00
4486.04,-10.08,192.00
4491.16,-9.12,192.00
4496.28,-8.16,192.00
4501.40,-7.20,192.00
4506.52,-6.00,240.00
4511.64,-5.04,192.00
4516.76,-4.08,192.00
4521.89,-3.12,192.00
4527.01,-1.92,240.00
4532.13,-0.96,192.00
4537.25,0.24,240.00
4542.38,1.20,192.00
4547.49,2.16,192.00
4552.61,3.12,192.00
4557.73,4.32,240.00
4562.85,5.28,192.00
4567.97,6.24,192.00
4573.09,7.20,192.00
4578.20,8.16,192.00
4583.32,9.12,192.00
4588.44,10.08,192.00
4593.56,11.04,192.00
4598.68,12.00,192.00
4603.80,12.96,192.00
4608.93,13.92,192.00
4614.05,14.88,192.00
4619.17,15.84,192.00
4624.31,16.80,192.00
4629.44,17.76,192.00
4634.56,18.72,192.00
4639.68,19.44,144.00
4644.80,20.40,192.00
4649.92,21.12,144.00
4655.04,22.08,192.00
4660.16,22.80,144.00
4665.28,23.76,192.00
4670.40,24.48,144.00
4675.52,25.20,144.00
4680.64,25.92,144.00
4685.77,26.40,96.00
4690.88,27.12,144.00
4696.01,27.60,96.00
4701.13,28.32,144.00
4706.25,28.80,96.00
4711.36,29.28,96.00
4716.48,29.76,96.00
4721.60,30.24,96.00
4726.72,30.48,48.00
4731.84,30.72,48.00
4736.96,31.20,96.00
4742.08,31.20,0.00
4747.20,31.44,48.00
4752.33,31.68,48.00
4757.45,31.68,0.00
4762.57,31.68,0.00
4767.69,31.68,0.00
4772.81,31.68,0.00
4777.94,31.44,-48.00
4783.07,31.44,-0.00
4788.21,31.20,-48.00
4793.34,30.96,-48.00
4798.48,30.72,-48.00
4803.61,30.48,-48.00
4808.74,30.24,-48.00
4813.88,29.76,-96.00
4819.01,29.52,-48.00
4824.14,29.04,-96.00
4829.27,28.56,-96.00
4834.41,28.08,-96.00
4839.54,27.60,-96.00
4844.67,27.12,-96.00
4849.80,26.40,-144.00
4854.94,25.92,-96.00
4860.07,25.20,-144.00
4865.23,24.48,-144.00
